Date,Price,Open,High,Low,Vol.,Change %
10/10/2023,19950,"20,200.00","20,350.00","19,950.00",7.60M,0.00%
10/9/2023,19950,"19,300.00","19,950.00","19,050.00",9.84M,4.18%
10/6/2023,19150,"18,600.00","19,150.00","18,300.00",5.01M,2.96%
10/5/2023,18600,"19,350.00","19,450.00","18,550.00",5.60M,-3.13%
10/4/2023,19200,"17,800.00","19,400.00","17,800.00",7.73M,3.50%
10/3/2023,18550,"19,500.00","19,550.00","18,550.00",11.66M,-6.78%
10/2/2023,19900,"19,750.00","20,150.00","19,550.00",4.30M,0.76%
9/29/2023,19750,"20,100.00","20,250.00","19,600.00",4.91M,-0.75%
9/28/2023,19900,"19,900.00","19,950.00","19,100.00",6.80M,0.76%
9/27/2023,19750,"19,000.00","19,750.00","18,600.00",6.86M,4.77%
9/26/2023,18850,"18,800.00","19,900.00","18,800.00",9.39M,-2.84%
9/25/2023,19400,"20,350.00","21,000.00","19,400.00",13.53M,-6.95%
9/22/2023,20850,"21,500.00","21,850.00","20,850.00",27.47M,-6.92%
9/21/2023,22400,"22,850.00","23,650.00","22,400.00",17.77M,-1.97%
9/20/2023,22850,"22,700.00","22,950.00","22,500.00",8.01M,0.66%
9/19/2023,22700,"21,850.00","22,700.00","21,000.00",14.73M,5.34%
9/18/2023,21550,"21,500.00","22,200.00","21,400.00",11.57M,0.23%
9/15/2023,21500,"21,350.00","22,000.00","20,900.00",10.24M,0.94%
9/14/2023,21300,"22,050.00","22,100.00","21,000.00",11.95M,-3.40%
9/13/2023,22050,"21,850.00","22,800.00","21,250.00",16.99M,1.38%
9/12/2023,21750,"21,000.00","21,800.00","20,750.00",12.52M,3.57%
9/11/2023,21000,"22,000.00","22,000.00","21,000.00",15.85M,-3.89%
9/8/2023,21850,"20,900.00","21,950.00","20,700.00",16.08M,4.55%
9/7/2023,20900,"21,350.00","21,450.00","20,800.00",12.06M,-1.18%
9/6/2023,21150,"19,900.00","21,150.00","19,550.00",21.03M,6.82%
9/5/2023,19800,"19,600.00","19,900.00","19,400.00",12.00M,2.59%
8/31/2023,19300,"19,000.00","19,500.00","19,000.00",10.37M,2.66%
8/30/2023,18800,"18,400.00","18,900.00","18,300.00",7.17M,2.17%
8/29/2023,18400,"18,700.00","18,750.00","18,300.00",5.20M,-1.08%
8/28/2023,18600,"18,200.00","18,600.00","18,150.00",6.38M,2.76%
8/25/2023,18100,"18,400.00","18,450.00","18,050.00",6.89M,-1.63%
8/24/2023,18400,"17,900.00","18,400.00","17,750.00",5.75M,2.79%
8/23/2023,17900,"18,200.00","18,200.00","17,900.00",4.14M,0.00%
8/22/2023,17900,"17,800.00","18,100.00","16,900.00",9.77M,1.13%
8/21/2023,17700,"18,400.00","18,600.00","17,700.00",10.04M,-4.84%
8/18/2023,18600,"19,750.00","19,850.00","18,600.00",15.99M,-7.00%
8/17/2023,20000,"20,400.00","20,650.00","20,000.00",15.88M,-1.48%
8/16/2023,20300,"20,400.00","20,400.00","20,000.00",6.03M,-0.49%
8/15/2023,20400,"20,400.00","20,500.00","20,000.00",7.74M,0.49%
8/14/2023,20300,"19,700.00","20,500.00","19,600.00",17.78M,4.10%
8/11/2023,19500,"19,100.00","19,700.00","18,650.00",10.06M,2.63%
8/10/2023,19000,"19,600.00","19,600.00","19,000.00",5.53M,-2.81%
8/9/2023,19550,"19,250.00","19,600.00","18,950.00",10.50M,1.56%
8/8/2023,19250,"19,350.00","19,550.00","19,200.00",9.89M,0.00%
8/7/2023,19250,"19,400.00","19,450.00","19,100.00",7.52M,0.00%
8/4/2023,19250,"18,850.00","19,250.00","18,800.00",6.24M,2.12%
8/3/2023,18850,"19,200.00","19,200.00","18,650.00",12.37M,-1.82%
8/2/2023,19200,"19,000.00","19,400.00","18,800.00",6.25M,0.79%
8/1/2023,19050,"19,700.00","19,700.00","19,050.00",12.10M,-3.30%
7/31/2023,19700,"20,250.00","20,250.00","19,300.00",10.70M,-0.51%
7/28/2023,19800,"19,750.00","20,150.00","19,500.00",8.54M,0.76%
7/27/2023,19650,"19,650.00","19,800.00","19,200.00",7.43M,0.00%
7/26/2023,19650,"19,600.00","20,100.00","19,500.00",8.40M,0.26%
7/25/2023,19600,"19,600.00","19,750.00","19,400.00",7.86M,0.00%
7/24/2023,19600,"19,750.00","19,900.00","19,450.00",7.56M,-0.51%
7/21/2023,19700,"19,300.00","19,800.00","19,200.00",8.24M,2.60%
7/20/2023,19200,"19,000.00","19,300.00","18,800.00",8.88M,0.79%
7/19/2023,19050,"19,200.00","19,300.00","18,900.00",10.62M,-0.26%
7/18/2023,19100,"19,400.00","19,400.00","19,050.00",8.96M,-1.80%
7/17/2023,19450,"19,550.00","19,800.00","19,300.00",6.97M,0.52%
7/14/2023,19350,"18,850.00","19,350.00","18,700.00",14.63M,3.75%
7/13/2023,18650,"18,900.00","18,950.00","18,600.00",5.10M,0.27%
7/12/2023,18600,"18,750.00","18,800.00","18,250.00",8.86M,-0.27%
7/11/2023,18650,"18,750.00","18,950.00","18,550.00",11.05M,-0.80%
7/10/2023,18800,"18,550.00","18,900.00","18,400.00",11.24M,2.17%
7/7/2023,18400,"17,400.00","18,450.00","17,200.00",15.39M,5.14%
7/6/2023,17500,"17,700.00","17,900.00","17,200.00",8.69M,-1.13%
7/5/2023,17700,"17,650.00","18,100.00","17,450.00",18.04M,1.14%
7/4/2023,17500,"17,250.00","17,500.00","17,050.00",10.70M,1.74%
7/3/2023,17200,"17,400.00","17,400.00","17,200.00",4.94M,-0.29%
6/30/2023,17250,"17,150.00","17,350.00","17,100.00",5.68M,0.00%
6/29/2023,17250,"18,150.00","18,200.00","17,250.00",14.87M,-4.96%
6/28/2023,18150,"18,050.00","18,350.00","18,000.00",10.93M,0.55%
6/27/2023,18050,"18,250.00","18,250.00","17,750.00",7.50M,-0.28%
6/26/2023,18100,"18,200.00","18,400.00","17,500.00",12.45M,-0.55%
6/23/2023,18200,"17,800.00","18,250.00","17,700.00",16.01M,2.82%
6/22/2023,17700,"17,800.00","17,900.00","17,600.00",11.37M,0.00%
