Date;Price;Open;High;Low;Vol.;Change %
10/30/2023;18.000;18.000;18.700;17.950;7.30M;0,00%
10/27/2023;18.000;17.650;18.050;17.150;4.83M;4,05%
10/26/2023;17.300;18.100;18.600;17.300;10.71M;-6,99%
10/25/2023;18.600;18.700;19.300;18.450;5.02M;-0,27%
10/24/2023;18.650;18.550;18.650;18.150;4.32M;0,81%
10/23/2023;18.500;18.500;18.700;18.050;5.46M;0,54%
10/20/2023;18.400;17.800;18.500;17.500;6.10M;3,08%
10/19/2023;17.850;17.800;18.250;17.250;5.34M;-1,11%
10/18/2023;18.050;19.000;19.000;17.300;12.44M;-2,96%
10/17/2023;18.600;20.100;20.250;18.600;7.38M;-6,53%
10/16/2023;19.900;20.600;20.800;19.900;8.19M;-3,16%
10/13/2023;20.550;19.950;20.550;19.800;7.25M;1,23%
10/12/2023;20.300;20.600;20.850;20.100;7.10M;-0,98%
10/11/2023;20.500;19.950;20.500;19.850;7.16M;2,76%
10/10/2023;19.950;20.200;20.350;19.950;7.60M;0,00%
10/09/2023;19.950;19.300;19.950;19.050;9.84M;4,18%
10/06/2023;19.150;18.600;19.150;18.300;5.01M;2,96%
10/05/2023;18.600;19.350;19.450;18.550;5.60M;-3,13%
10/04/2023;19.200;17.800;19.400;17.800;7.73M;3,50%
10/03/2023;18.550;19.500;19.550;18.550;11.66M;-6,78%
10/02/2023;19.900;19.750;20.150;19.550;4.30M;0,76%
09/29/2023;19.750;20.100;20.250;19.600;4.91M;-0,75%
09/28/2023;19.900;19.900;19.950;19.100;6.80M;0,76%
09/27/2023;19.750;19.000;19.750;18.600;6.86M;4,77%
09/26/2023;18.850;18.800;19.900;18.800;9.39M;-2,84%
09/25/2023;19.400;20.350;21.000;19.400;13.53M;-6,95%
09/22/2023;20.850;21.500;21.850;20.850;27.47M;-6,92%
09/21/2023;22.400;22.850;23.650;22.400;17.77M;-1,97%
09/20/2023;22.850;22.700;22.950;22.500;8.01M;0,66%
09/19/2023;22.700;21.850;22.700;21.000;14.73M;5,34%
09/18/2023;21.550;21.500;22.200;21.400;11.57M;0,23%
09/15/2023;21.500;21.350;22.000;20.900;10.24M;0,94%
09/14/2023;21.300;22.050;22.100;21.000;11.95M;-3,40%
09/13/2023;22.050;21.850;22.800;21.250;16.99M;1,38%
09/12/2023;21.750;21.000;21.800;20.750;12.52M;3,57%
09/11/2023;21.000;22.000;22.000;21.000;15.85M;-3,89%
09/08/2023;21.850;20.900;21.950;20.700;16.08M;4,55%
09/07/2023;20.900;21.350;21.450;20.800;12.06M;-1,18%
09/06/2023;21.150;19.900;21.150;19.550;21.03M;6,82%
09/05/2023;19.800;19.600;19.900;19.400;12.00M;2,59%
08/31/2023;19.300;19.000;19.500;19.000;10.37M;2,66%
08/30/2023;18.800;18.400;18.900;18.300;7.17M;2,17%
08/29/2023;18.400;18.700;18.750;18.300;5.20M;-1,08%
08/28/2023;18.600;18.200;18.600;18.150;6.38M;2,76%
08/25/2023;18.100;18.400;18.450;18.050;6.89M;-1,63%
08/24/2023;18.400;17.900;18.400;17.750;5.75M;2,79%
08/23/2023;17.900;18.200;18.200;17.900;4.14M;0,00%
08/22/2023;17.900;17.800;18.100;16.900;9.77M;1,13%
08/21/2023;17.700;18.400;18.600;17.700;10.04M;-4,84%
08/18/2023;18.600;19.750;19.850;18.600;15.78M;-7,00%
08/17/2023;20.000;20.400;20.650;20.000;15.88M;-1,48%
08/16/2023;20.300;20.400;20.400;20.000;6.03M;-0,49%
08/15/2023;20.400;20.400;20.500;20.000;7.74M;0,49%
08/14/2023;20.300;19.700;20.500;19.600;17.78M;4,10%
08/11/2023;19.500;19.100;19.700;18.650;10.06M;2,63%
08/10/2023;19.000;19.600;19.600;19.000;5.53M;-2,81%
08/09/2023;19.550;19.250;19.600;18.950;10.50M;1,56%
08/08/2023;19.250;19.350;19.550;19.200;9.89M;0,00%
08/07/2023;19.250;19.400;19.450;19.100;7.52M;0,00%
