"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2023","20,266.7","20,753.8","20,948.7","20,266.7","13.84M","-1.42%"
"11/08/2023","20,559.0","19,146.2","20,559.0","19,097.4","17.84M","6.84%"
"11/07/2023","19,243.6","19,292.3","19,584.6","19,097.4","11.77M","-1.25%"
"11/06/2023","19,487.2","19,048.7","19,487.2","18,853.8","13.69M","2.83%"
"11/03/2023","18,951.3","18,512.8","19,000.0","18,171.8","14.97M","2.91%"
"11/02/2023","18,415.4","17,635.9","18,415.4","17,392.3","14.50M","6.78%"
"11/01/2023","17,246.2","16,515.4","17,246.2","16,417.9","6.06M","4.12%"
"10/31/2023","16,564.1","17,148.7","17,197.4","16,369.2","7.86M","-1.16%"
"10/30/2023","16,759.0","17,148.7","17,587.2","16,759.0","6.75M","-2.55%"
"10/27/2023","17,197.4","16,271.8","17,197.4","15,833.3","9.35M","6.32%"
"10/26/2023","16,174.4","16,905.1","16,953.8","16,174.4","13.91M","-6.74%"
"10/25/2023","17,343.6","17,392.3","17,830.8","17,294.9","6.12M","0.56%"
"10/24/2023","17,246.2","17,294.9","17,441.0","16,807.7","4.60M","0.00%"
"10/23/2023","17,246.2","17,343.6","17,635.9","16,905.1","7.80M","-0.56%"
"10/20/2023","17,343.6","16,564.1","17,343.6","16,515.4","7.57M","4.71%"
"10/19/2023","16,564.1","16,564.1","16,856.4","15,687.2","10.21M","0.00%"
"10/18/2023","16,564.1","17,733.3","17,782.1","16,320.5","19.48M","-5.56%"
"10/17/2023","17,538.5","18,415.4","18,805.1","17,538.5","6.70M","-4.25%"
"10/16/2023","18,317.9","19,146.2","19,243.6","18,317.9","7.20M","-4.33%"
"10/13/2023","19,146.2","18,853.8","19,194.9","18,561.5","5.77M","-0.25%"
"10/12/2023","19,194.9","19,389.7","19,730.8","18,902.6","6.72M","0.00%"
"10/11/2023","19,194.9","18,853.8","19,194.9","18,659.0","6.70M","2.07%"
"10/10/2023","18,805.1","19,097.4","19,292.3","18,805.1","6.95M","-0.26%"
"10/09/2023","18,853.8","18,220.5","19,000.0","18,220.5","7.87M","3.20%"
"10/06/2023","18,269.2","17,879.5","18,512.8","17,441.0","7.73M","2.18%"
"10/05/2023","17,879.5","18,707.7","18,805.1","17,879.5","7.02M","-3.93%"
"10/04/2023","18,610.3","17,538.5","19,097.4","17,538.5","12.35M","2.14%"
"10/03/2023","18,220.5","19,097.4","19,194.9","18,220.5","18.60M","-6.97%"
"10/02/2023","19,584.6","19,633.3","19,974.4","19,389.7","6.92M","0.50%"
"09/29/2023","19,487.2","19,974.4","20,023.1","19,341.0","8.45M","-1.48%"
"09/28/2023","19,779.5","19,194.9","19,925.6","18,902.6","11.07M","1.50%"
"09/27/2023","19,487.2","18,610.3","19,487.2","18,220.5","11.84M","5.26%"
"09/26/2023","18,512.8","19,389.7","19,682.1","18,512.8","20.32M","-5.24%"
"09/25/2023","19,535.9","20,656.4","21,046.2","19,535.9","17.10M","-6.96%"
"09/22/2023","20,997.4","21,874.4","22,020.5","20,997.4","34.49M","-6.91%"
"09/21/2023","22,556.4","22,410.3","23,287.2","22,312.8","17.85M","0.00%"
"09/20/2023","22,556.4","22,410.3","22,653.8","22,264.1","8.28M","0.65%"
"09/19/2023","22,410.3","21,435.9","22,410.3","20,851.3","18.39M","5.50%"
"09/18/2023","21,241.0","20,851.3","21,533.3","20,851.3","12.48M","1.87%"
"09/15/2023","20,851.3","20,851.3","21,435.9","20,461.5","10.74M","0.47%"
"09/14/2023","20,753.8","21,435.9","21,435.9","20,461.5","13.60M","-3.18%"
"09/13/2023","21,435.9","21,435.9","22,264.1","21,046.2","16.80M","0.69%"
"09/12/2023","21,289.7","20,656.4","21,289.7","20,364.1","15.98M","2.58%"
"09/11/2023","20,753.8","21,728.2","21,728.2","20,753.8","15.96M","-3.18%"
"09/08/2023","21,435.9","20,948.7","21,728.2","20,900.0","17.24M","2.33%"
"09/07/2023","20,948.7","20,997.4","21,241.0","20,802.6","14.74M","0.94%"
"09/06/2023","20,753.8","19,438.5","20,753.8","19,097.4","24.08M","6.77%"
"09/05/2023","19,438.5","19,633.3","19,974.4","19,243.6","9.75M","-0.25%"
"08/31/2023","19,487.2","19,438.5","19,682.1","19,194.9","11.67M","1.52%"
"08/30/2023","19,194.9","18,659.0","19,292.3","18,561.5","10.67M","3.14%"
"08/29/2023","18,610.3","18,805.1","19,000.0","18,415.4","7.68M","-0.52%"
"08/28/2023","18,707.7","18,171.8","18,805.1","18,171.8","13.01M","3.23%"
"08/25/2023","18,123.1","18,317.9","18,415.4","18,074.4","10.09M","-0.80%"
"08/24/2023","18,269.2","17,830.8","18,269.2","17,587.2","8.28M","2.46%"
"08/23/2023","17,830.8","18,171.8","18,171.8","17,830.8","5.14M","-0.54%"
"08/22/2023","17,928.2","18,317.9","18,317.9","17,051.3","10.24M","-0.27%"
"08/21/2023","17,976.9","18,123.1","18,366.7","17,489.7","11.83M","-0.81%"
"08/18/2023","18,123.1","19,341.0","19,389.7","18,123.1","28.23M","-7.00%"
"08/17/2023","19,487.2","19,974.4","20,217.9","19,487.2","15.61M","-1.96%"
"08/16/2023","19,876.9","20,071.8","20,071.8","19,682.1","7.04M","-0.97%"
"08/15/2023","20,071.8","19,682.1","20,169.2","19,389.7","15.15M","2.49%"
"08/14/2023","19,584.6","19,438.5","19,828.2","19,438.5","11.48M","1.26%"
"08/11/2023","19,341.0","18,366.7","19,389.7","18,171.8","25.03M","5.59%"
"08/10/2023","18,317.9","18,512.8","18,707.7","18,269.2","7.96M","-1.57%"
"08/09/2023","18,610.3","18,123.1","18,707.7","17,976.9","18.01M","2.14%"
"08/08/2023","18,220.5","18,610.3","18,805.1","18,171.8","13.51M","-1.58%"
"08/07/2023","18,512.8","18,659.0","18,707.7","18,317.9","11.91M","0.53%"
"08/04/2023","18,415.4","18,269.2","18,415.4","18,025.6","9.83M","1.07%"
"08/03/2023","18,220.5","18,317.9","18,317.9","17,830.8","15.59M","-0.53%"
"08/02/2023","18,317.9","17,928.2","18,415.4","17,879.5","11.52M","1.07%"
"08/01/2023","18,123.1","18,707.7","18,707.7","18,123.1","15.38M","-3.38%"
"07/31/2023","18,756.4","18,610.3","18,756.4","18,025.6","23.75M","-0.26%"
"07/28/2023","18,805.1","18,269.2","18,805.1","18,123.1","21.29M","2.93%"
"07/27/2023","18,269.2","18,220.5","18,317.9","17,782.1","16.73M","0.27%"
"07/26/2023","18,220.5","17,928.2","18,366.7","17,879.5","14.43M","2.19%"
"07/25/2023","17,830.8","17,830.8","18,220.5","17,684.6","15.19M","0.00%"
"07/24/2023","17,830.8","17,879.5","18,074.4","17,635.9","12.68M","0.55%"
"07/21/2023","17,733.3","17,197.4","17,830.8","17,100.0","19.96M","3.70%"
"07/20/2023","17,100.0","16,807.7","17,148.7","16,807.7","11.02M","1.15%"
"07/19/2023","16,905.1","16,856.4","17,051.3","16,759.0","13.94M","0.58%"
"07/18/2023","16,807.7","17,148.7","17,148.7","16,759.0","15.20M","-2.27%"
"07/17/2023","17,197.4","17,441.0","17,489.7","17,051.3","8.73M","-0.56%"
"07/14/2023","17,294.9","17,100.0","17,538.5","17,051.3","17.41M","1.43%"
